	article_title
24	Answering The Call: Bungie Announced That Master Chief Is Available To Fight Coronavirus But Isn’t Sure How To Make That Happen
25	Bad News, Naughty Dog Fans: ‘The Last Of Us Part II’ Has Been Delayed Again After Joel Was Arrested For Taking Pictures Of Kids At Local Playgrounds
26	Must See: The ‘Final Fantasy VII Remake’ Features The Gorgeous New Opening Film ‘Taxi Driver’
27	Uh, Thanks?: Sony Has Announced That PlayStation Plus Subscribers Can Download The Movie ‘Spanglish’ For Free During The Month Of April
28	Video Games Are Officially Art! Andres Serrano Just Submerged A Copy Of ‘Super Mario Odyssey’ In A Jar Of Piss
29	Miss E3? Check Out Our Recreation With A Bunch Of Sweating, Overheated Gamers We Locked In Our Janitorial Closet
30	Deal Alert: The Federal Government Is Cutting You A $1,200 Stimulus Check That You Can, And Should, Spend Exclusively On 75 Copies Of ‘Stardew Valley’
31	TheOnion.com Has Been Designated As A Pandemic Shelter In The Event That Covid-19 Could Spread Through The Internet
32	OGN Investigates: We Exposed An Orphan To Nothing But Violent Games For The First 12 Years Of His Life And While It Didn’t Make Him Violent He Sure Came Out Weird
33	Amazing Lore: ‘Doom Eternal’ Creators Confirm Every Demon You Fight In The Game Went To Hell For Masturbating As Teenagers
34	‘Animal Crossing: New Horizons’ Developers Confirm No One Can Hurt You Here, No One Can Make You Scared
35	Huge Announcement: Sony Just Revealed The PS5 Can Function As A Makeshift Gravestone To Mark The Site Of Your Shallow Burial
36	Microsoft Confirms Xbox Series X Next-Gen Graphics Will Finally Allow Games That Are All Realistic Hair And Water
37	Amazing Detail: Every Game In ‘MLB The Show’ Will Feature A Frustrated Father Sitting In The Stands Next To His Husky Son Playing A Nintendo DS
38	Amazing Collaboration: NASA Is Working With Nintendo To Learn How They Got The ‘?’ Blocks In ‘Mario’ Games To Float In The Air
39	Amazing News Gamers: Everyone Is Having A Great Time Playing Video Games
40	Neurosurgeon Feels Lucky He Was Able To Turn Hobby Into Career
41	Pathetic: This Gamer Who Got Shot 3 Times Went To A Hospital Instead Of Just Crouching Behind Cover For 10 Seconds
42	Disappointing: ‘The Last Of Us 2’ Has Received An M Rating Solely For A Scene Where Ellie Meets A Dog That Swears And Smokes Cigarettes
43	Shocking Lore: Nintendo Says Mario Always Talks About Being Italian Even Though He’s Only A Quarter And His Last Name Is Walsh
44	Gaming Is Finally Growing Up: This Xbox One Is Wearing A Suit And Tie
45	2020 Race Upended After New Poll Finds Trump, Democrats Trailing Mysterious Rune-Covered Obelisk By 80 Points
46	Deal Alert: The Guards Protecting The Duke’s Prized Copy Of ‘Diddy Kong Racing’ Will Be Briefly Distracted During The Fireworks Display At His Upcoming Grand Ball
47	Move Over, Alan Moore: This Gaming Webcomic Is Now A Webcomic About Gaming And Fatherhood
48	Huh: There’s No Convention Or Anything In Town So This Guy Dressed Like Poliwhirl Must Just Dress Like This All The Time
49	Excitement Builds Around New PlayStation After Leaked Images May Show Your Long-Lost Father Holding A PS5
50	‘Kingdom Hearts III’ DLC Developers Panicking After Realizing ‘Shrek’ Not Owned By Disney
51	Real-Life ‘Katamari’! This Drunk Driver Is Still Dragging The Cyclist He Hit
52	Deal Alert: This 4-Year-Old Wandered Really Far From The Playground, Your Car’s Right There, And Her Parents Would Definitely Cough Up Enough For A Marvel 3-In-1 Arcade Machine To Get Her Back
53	Impressive ‘Super Smash Brothers’ Purist Only Plays Original SNES Or NES Game Each Character From
54	Deal Alert: Got A Nintendo Switch And Amazon Prime? Well, Look At You, Mr. Moneybags
55	A Life Unfinished: Stephen Hawking’s Estate Just Revealed The Genius Astrophysicist Died With Only 91% Completion For ‘The Witcher 3’
56	Sad: The Elderly Dutch Man Who Inspired The ‘X’ Button On The PlayStation Controller Has Passed Away
57	Gamers Behold: The One The Texts Predicted, Who Will Unite The Gamer Tribes And Crush Our Enemies Underfoot, Has Been Born
58	Remember ‘Command And Conquer’? No? Okay Then
59	Deal Alert: Guy With Nice Suit Probably Carrying Enough On Him Right Now To Buy ‘Death Stranding’ PS4 Pro Bundle If You Stick Him Up
60	Plan B Unveils New Line Of Space-Time Wormholes To Prevent Intercourse From Ever Happening
61	Gabe Newell Reveals To ‘Half-Life’ Fans That They Are In Hell And He Is Their Devilish Master
62	Awesome Tie-In: Thousands Of Dock Workers Across America Have Been Driving Forklifts As An Apparent Shadow Promotion For ‘Shenmue 3’
63	None
64	Disappointing: Microsoft Confirmed That Project Scarlett Is Actually Just A Brothel They’re Building In Thailand Where Xboxes Can Go To Be Pleasured
65	Pope Francis Bags 6-Winged Trophy Angel During Vatican’s Annual Seraphim Hunt
66	‘Pokémon’ Fans Are Up In Arms With Game Freak’s Refusal To Include A National Sex Offender Registry In ‘Sword and Shield’
67	Fascinating History: The Director Of The Original ‘Silent Hill 2’ Just Revealed That The Game’s Iconic Fog Was A Workaround To Hide All The ‘Dilbert’ Strips They Couldn’t License
68	Bad News, Gamers! ‘Mario & Sonic At The Olympic Games Tokyo 2020’ Will Be The Last Game
69	‘The Witcher’ Producers Assure Gamers Netflix Series Will Include All 400 Side Quests From ‘Wild Hunt’
70	Making Amends: Blizzard Added A Drawing Of Xi Jinping Getting Pinched On The Ass By A Crab To All Spawn Rooms On Overwatch’s Lijiang Tower Map
71	Tragic: The Man Who Tried To Bring Attention To The Crisis Of Gaming Lag By Sailing Across The Ocean On A PS4 Has Already Drowned
72	Cyberbullying Alert: Gamers Are Ganging Up To Harass This Defenseless Chinese Communist Party Leader
73	Patriotism FTW: ‘Call Of Duty: Mobile’ Will Now Only Allow Guns To Be Used By Players On American Side
74	Trying Their Best: The ‘Gears Of War’ Twitter Account Just Posted A Tribute To Black History Month Even Though The Timing’s Way Off
75	How To Get The Secret ‘Objective Failed’ Ending In ‘Gears 5’
76	Deal Alert: Your Parents Have Promised To Buy You ‘Let’s Go Pikachu’ If You Can Make It Through Rosh Hashanah This Year Without Biting Anyone
77	‘Ni No Kuni’: Remastering Done Right, But Gameplay Is Marred By My Newborn Son’s Constant Screaming
78	Game’s 5,000 Hours Of Written Dialogue Spread Over 200 Side Quests And 6 Branching Endings Derided As Rushed, Repetitive
79	GameStop Somehow Selling Used Version Of Game Day After It Comes Out
80	Inspiring: Thousands Of Gamers Have Pitched In To Rescue Consoles Abandoned In The Wake Of Hurricane Dorian
81	Real Life ‘DOOM’: This Office Requires A Keycard To Get In
82	Here’s Everything We Know So Far About ‘Super Mario 64’
83	OGN Is Retracting Its 9.3/10 For ‘Gears 5’ After Realizing We Haven’t Gotten A Single Dollar From Microsoft
84	Kim Kardashian Tries To Escape L.A. In Rowboat After Realizing Past 12 Years Of Life Have Been TV Show
85	Going Too Far?: Nintendo Has Responded To Complaints That Marth Is Too Overpowered In ‘Smash’ By Giving Him Fibromyalgia
86	A True War: EA Reveals The Next Battlefield Game Will Take Place In A Divorcing Family
87	Sony Announces Discreet New Flesh-Colored VR Helmet That Blends In With Your Face
88	Nintendo Confirms Yoshi’s Ability To Throw Eggs To Defeat Enemies Is A Pro-Abortion Stance
89	CD Projekt Red Says They’ve Eliminated The Need For Crunch On ‘Cyberpunk 2077’ By Breeding Grotesque Human-Rat Hybrid Programmers
90	New Leak Reveals That Tom Clancy Will Be Final Boss In ‘Tom Clancy’s Ghost Recon Breakpoint’
91	The Heir Apparent: Now That Ninja Left Twitch, The Next Big Streaming Star Is Probably This Red-Faced Kid Who Plays ‘Hearthstone’
92	Sable & Rosenfeld Launches Ad Campaign Rebranding Their Cocktail Onions As Gamer Fuel
93	Thomas Jefferson: ‘The Tree Of Liberty Must Be Refreshed From Time To Time With The Blood Of Patriots And Tyrants And Kindergarteners And Newlyweds And High-Schoolers And Parents And Teachers And Worshippers And Workers And Occasionally Infants’
94	Music Historians Uncover Evidence Of 18th-Century Viennese Boy Band Mozart Fronted Before Leaving To Pursue Solo Career
95	The History Of ‘The Madden Curse’: The Mysterious Trend Of Cover Art Athletes Who Slowly Transform Into John Madden
96	‘Madden NFL 20’ Debuts Three New Romanceable Kickers
97	Eco-Win! Rockstar Announces That For Every Mile Driven In ‘Grand Theft Auto Online’ They’ll Plant A Tree In-Game
98	Guy On Bus Really Good At Whatever Phone Game That Is
99	New ‘Call Of Duty’ Explores Horrifying Reality Of Life As USO Magician
100	Congratulations! You’ve Read Enough OGN Articles In A Row To Earn A 1-Up!
101	Small Town Ravished By Alejandro
102	Report: PlayStation 5 Has Already Been Out In Japan For, Like, 20 Years
103	Baldwin Reveals Every Door That Locks Behind You In ‘Resident Evil 2’ Uses Baldwin’s High-Quality Latching Technology
104	Boston General Introduces New ‘Night Among The Patients’ Event Featuring Cocktails, Live Music
105	It’s Time Video Games Stop Glorifying Violence And Go Back To Glorifying Whatever The Fuck Was Going On In ‘BurgerTime’
106	CD Projekt Red Announces ‘Cyberpunk 2077’ Will Have A Gender-Neutral Character Creator, However Everyone Will Be Christian
107	Breaking New Ground: Beto O’Rourke Has Become The First Presidential Candidate Available As A ‘Smash Ultimate’ DLC Fighter
108	Historians Reveal Aqueducts Were Only Small Portion Of Ancient Rome’s Intricate Water Park System
109	Gaming Addict Attempting To Slowly Wean Self Off Of Real Life
110	Fascinating Lore: Nintendo Revealed That The Reason Mario Always Comes Back To Life After He Dies Is Because Both Heaven And Hell Reject His Soul
111	Texas Instruments Announces New Plug-And-Play TI-83 Classic
112	White House Hires Top Hollywood Agent To Pitch Action-Packed, High-Concept War With Iran To American Public
113	Ignorant Man Who Has Learned Nothing From History Excited About ‘Star Wars: Jedi Fallen Order’
114	Long-Forgotten G4 Correspondent Still Producing Remote Segment On 2012 E3
115	Hideo Kojima Teases What We Assume Is New ‘Death Stranding’ Info By Walking Around E3 Dressed As Triceratops And Waving A ‘Big, Brassy, And Beautiful’ Sign
116	E3 Now Selling ‘Con Funk’ Scented Candle For Gamers Who Want To Take Convention Experience Home With Them
117	FromSoftware Announces Partnership With Eric Carle For Game Set In World Of Very Hungry Caterpillars
118	E3 Attendees Flee In Terror After Bethesda Presentation Glitch Causes Deathclaw To Spawn On Convention Floor
119	Bethesda E3 Presentation Reveals They Worked Really Hard On ‘Fallout 76’ So Maybe Everyone Should Stop Being Mean And Give It Another Shot
120	Sony Reveals PlayStation 5 Will Feature Fully Functioning Breakfast Sandwich Maker
121	Twitch Streamer Completes Stunning 2-Minute-42-Second Racist Rant Speedrun
122	Why I’m So Excited About ‘Gears 5’: I Have A Severe Glandular Disorder That Makes It Impossible For Me Not To Feel This Way
123	New ‘Call Of Duty’ Praised For Depicting Grim, Harrowing Fun That Can Be Had While Killing Civilians
124	‘Let’s See You Answer These’ Snickers Alex Trebek As He Unveils Invasive Categories About James Holzhauer’s Personal Life
125	Twitch Just Announced They Will Let Users Stream Nude As Long As Everyone Promises Not To Get Aroused Or Do Anything Weird
126	‘Fortnite’ Is Having Martin Shkreli Hold An In-Game Seminar On How To Jack Up Drug Prices
127	World Health Organization Director-General Classifies Gaming Disorder As Disease After Son Spends Beautiful Day Inside Playing ‘Overwatch’
128	Everything We Learned About ‘Elder Scrolls VI’ From Breaking Into Todd Howard’s House And Trying On All His Clothes
129	Nintendo Announces That ‘Super Mario Maker 2’ Will Finally Let Users Build A Synagogue So Mario Can Get Bar Mitzvahed
130	In Major Blow To Sony’s Upcoming PlayStation 5, Microsoft Announces PlayStation 6
131	Bugs Bunny Explains How LeBron Helped Him Get Sober For Role In ‘Space Jam’ Sequel
132	They Did it Again: During Wednesday’s Nintendo Direct The Company Announced The Beauty Of A Rose
133	EA Announces New Revenue Model Just Deleting Everyone’s ‘Anthem’ Characters Unless They Send Company $300 In Next Hour
134	Touching Tribute: Nintendo Is Finally Adding A Grass-Type Pokémon Based On James Gandolfini
135	Feminist Gamers Rejoice: Dead Or Alive 6’s Female Characters All Have Huge, Jiggling Breasts Because Every Woman Should Feel Beautiful
136	Incredibly Lazy And Unprofessional: This Video Game Developer Is Always The First To Leave His Office At 11:45 P.M. Every Day
137	LGBTQ Representation Win! A New ‘The Last Of Us 2’ Trailer Revealed That Harvey Milk Is Still Alive In The Game’s Universe
138	Everyone Must Play This Amazing New Indie Game That Probably Exists About A Lonely Penguin That Inherited His Family’s House Or Some Shit
139	Sweet Karma: Your High School Computer Lab Teacher Who Installed The Browser Blocker That Stopped You From Playing Flash Games Is Very Sick Now
140	‘I Don’t Like The Look Of This,’ Says Astronaut Entering Flickering, Ooze-Covered Abandoned Section Of ISS
141	Gamers Rejoice: Here Is The Word ‘Japan’
142	‘Fortnite’ Players Up In Arms Over New Map Addition After Discovering Its Deli Counter Only Features 2 Types Of Salami
143	Neutrogena Calls For Worldwide Cleansing In Effort To Attain Facial Purity
144	Report Reveals Jesus Christ May Have Benefited From Father’s Influential Position To Gain High-Powered Role As Lord And Savior
145	None
146	None
147	None
148	None
149	None
150	None
151	None
152	None
153	None
154	None
155	None
156	None
157	None
158	None
159	None
160	None
161	None
162	None
163	None
164	None
165	None
166	None
167	None
168	None
169	None
170	None
171	None
172	None
173	None
174	None
175	None
176	None
177	None
178	None
179	None
180	None
181	None
182	None
183	None
184	None
185	None
186	None
187	None
188	None
189	None
190	None
191	None
192	None
193	New Evidence Reveals Pythagoras Wrote Dozens Of Unhinged Conspiracy Theorems About Triangles
194	Historians Discover Meditation Spread From Ancient China By Annoying Monk Who Wouldn’t Shut Up About How It Changed His Life
195	Millions Of Moms Set Out On Pilgrimage To Premium Outlet Center
196	Supreme Court Justices Gather In Chambers To Receive Latest Mission From Large Talking Head Of Justice John Marshall
197	Jeb Bush Debuts One-Man Presidential Campaign Tragedy Play In Black Box Theater
198	NASA’s Mars Roomba Begins Mission To Clean Dust From Planet’s Surface
199	Sebastian Gorka Welcomed To Halfway House For Fired Trump Administration Members
200	FDA Rents Party House Upstate To Test New Drug
201	T.J. Maxx Recreates In-Store Shopping Experience With New Website That Randomly Scatters Products All Over The Place
202	Partisan Differences Set Aside For Congress’ Annual Erotic Masquerade Ball
203	Trump Boys Gather Rations Of Comic Books, Candy Bars For Night Hiding From Special Prosecutors In Makeshift Rose Garden Fort
204	Struggling Amtrak To Discontinue Mysterious Late-Night Trains To Spirit Realm
205	Nation’s Therapists Say Majority Of Issues Could Be Resolved By Not Being So Weird All The Time
206	Local Dipshit Planning On Fighting Trump Administration Through Art
207	76 Million Baby Boomers Abscond To Fiji After Draining Nation’s Social Security, Medicare Accounts
208	Report: South Korea Developing New Pop Group Capable Of Reaching U.S.
209	NASA Announces Selection Of Two Hot, Ripped Astronauts For Man-On-Man Mission To Mars
210	Amazon Completes New Suspension Tank To House Psychic Beings Who Foresee Customers’ Future Orders
211	Historians Find Evidence Of Nation’s Founding Lobbyists’ Campaign To Influence Constitution
212	God Falling Under Influence Of Powerful Spiritual Guru
213	Theoretical Scientists Gather For 35th Annual Symposium To Try To Determine How Gas Nozzle Knows When Tank Is Full
214	Lonely Elementary Schooler Already Crushing Library’s Summer Reading Program
215	Pope Francis Buys Knockoff Chalice At Store In Vatican City Chinatown
216	Chuck E. Cheese Keyboardist Quits Band To Form Mr. Munch Experience
217	‘This Here Is Probably Our Bestselling Love Seat,’ Says Man Who Would Have Been Powerful, Revered Warrior 4,000 Years Ago
218	Pigeon Feels Silly About Still Being A Little Scared Of Plastic Owl
219	Obama Sends Publisher Collection Of Pages For Presidential Graphic Novel
220	NASA Receives More Depressing Photos Of Mars’ Surface From Morbid Curiosity Rover
221	Nation Unable To Discern Why Unattractive Woman On Screen
222	President Trump Has Enacted The ‘Theseus Protocol’: What Does That Mean For America?
223	Dave & Buster’s Opens New Fine Dining, Gaming Outpost David & Benedict’s
224	‘The Onion’ Invites Republican Candidate Greg Gianforte To Physically Assault Our Entire Editorial Staff
225	Just Who Are The Trumps, Exactly?
226	Every American Should Be Extremely Unsettled By The Initiatives Trump’s Cabinet Is Pursuing
227	Who Are The Deeply Disturbed Individuals In Trump’s Inner Circle?
228	What Is Trump Hiding?
229	DNC Chair Tracks Down Biden In Everglades Tossing Whole Chickens To Gators
230	Kicking, Screaming Warren Buffett Dragged From Caesars Palace After Losing Everything At Roulette Wheel
231	Pressure Mounting For Humans To Step Down As Head Of Failing Global Ecosystem
232	Network Engineer Would Be Systems Manager If He Could Do It All Over Again
233	Nation’s Back Alleys Working To Expand Available Services In Anticipation Of Trumpcare Bill Becoming Law
234	Greyhound To Send Chimps On Pioneering Bus Trip From Buffalo To Atlantic City
235	Ecuadorian Officials Starting To Get Sick Of Julian Assange Always Leaving Dirty Dishes All Over Embassy
236	Gorsuch Nervous About Showering In Front Of Other Supreme Court Justices
237	Family Sadly Marks First 4/20 Without Grandmother
238	Donald Trump Jr. Takes Son On Hunting Trip In National Zoo
239	NASA Designs Suit Capable Of Protecting Humans Hoping To One Day Live On Earth
240	Judi Dench, Jack Nicholson, Jeremy Irons, Meryl Streep Fondly Recall Getting Start As Part Of 1993 Mouseketeer Class
241	Man Has Been Meaning To Catch Up On Whole Of Human Artistic Endeavor
242	Trump Unveils Sprawling New Presidential Retreat Where He Can Escape From Stresses Of Mar-A-Lago
243	Friend Of Bruce Springsteen Has Been Thinking Of Excuses To Avoid Checking Out His Band For 50 Years
244	Hundreds Of Blind, Pallid Disney Characters Discovered Living In Caves Deep Within Space Mountain
245	Archaeologists Uncover Last Human To Die Happy
246	Mitch McConnell Sees Infinite Healthcare Plans After Dropping Acid To Inspire Ideas For Obamacare Replacement
247	Innovative Business Always On The Cutting Edge Of What Other Companies Have Been Doing For A Few Years
248	87% Of Loud Crashing Noises Are Nothing, Report Top Experts From Other Room
249	Area Man Accepts Burden Of Being Only Person On Earth Who Understands How World Actually Works
250	‘The Onion’ Formally Invites All Oscars Attendees To Our Official After-Party In The Village Of Sakteng, Bhutan
251	Child Protective Services Take 80 Million Children Into Custody After Discovering No One In Country Fit To Be Parent
252	‘What If We Try This?’ Asks Robotics Grad Student About To Eliminate 30% Of Workforce
253	Surgically Altered Obama Doubles Struggling To Find Work After Presidency
254	Secret Service Adds Emotional Protection Division To Safeguard Trump’s Psyche
255	Report: That Was Very Stupid Thing To Say
256	World Agrees To Just Take Down Internet For A While Until They Can Find A Good Use For It
257	Cockroaches Feeling Very Optimistic About Future Of Planet
258	Lindsey Graham Cowers Behind Tree Trunk As Trump’s Hunting Dogs Close In
259	Biden Making Plans To Go Completely Legit After Vice Presidency
260	Black Man Out Of Work
261	Obama Hoping He Doesn’t Run Into U.S. Populace After Presidency
262	World Wildlife Fund Urges Americans To Just Grab Whatever Animal They See And Try To Keep It Alive
263	The Onion’s 2016 Fish Of The Year Is…This Fish
264	Scientists Make Discovery About World’s Silt Deposits But Understand If You Aren’t Interested In That
265	City Of Chicago Working Around Clock To Clear 18 Inches Of Bullet Casings From Streets
266	Obama Finally Fulfills Campaign Promise To Spend One Night In Abandoned Amusement Park
267	Historians Piece Together Carnival East India Company’s First Cruise In 1605
268	Deep-Sea Godiva Rig Taps World’s Largest Offshore Ganache Deposit
269	Nation Elects First Black-Hearted President
270	Millions Gather Under Times Square Countdown Clock To Celebrate End Of 2016 Election
271	New Heavy-Duty Voting Machine Allows Americans To Take Out Frustration On It Before Casting Ballot
272	Nate Silver Gunned Down Attempting To Cross Mexican Border With All 2016 Polling Data
273	Anthropologists Discover Isolated Tribe Of Joyful Americans Living In Remote Village Untouched By 2016 Election
274	Psychologists Say It Perfectly Natural To Fantasize About Sandwiches Other Than One Currently In Hand
275	New Company Aims To Explore Intersection Of Technology, Other Thing
276	The Onion Humbly Offers Up Its Offices To Imprison The Women Who Have Wrongfully Accused Donald Trump
277	Sunny Saves Bo From Mountain Lion During Cross-Country Journey To Reunite With Obamas
278	Subway Breeding Program Successfully Creates Black Forest Ham–Meatball Marinara Hybrid
279	‘The Onion’ Is Withholding Our Endorsement For President Until Both Candidates Respond To Our Questionnaire
280	National Association Of Enablers To Americans: ‘C’mon’
281	CIA Orchestrates Coup D’État To Replace Entire Population Of Venezuela
282	Man Wakes From Coma With Ability To Understand Health Insurance Policy
283	‘The Onion’ Has Obtained Donald Trump’s Tax Returns And Has Chosen To Destroy Them
284	Rest Of Nation To Penn State: ‘Something Is Very Wrong With All Of You’
285	Report: U.S. Students Lack Language Skills, Vocabulary To Effectively Belittle Classmates
286	Report: Feeling Bad Right Now Most Reliable Predictor Of Feeling Bad Forever
287	Hollywood Refusing To Give Public Any New Movies Until It Can Appreciate Ones It Already Has
288	Man Just Waiting Tables Until Fundamental Structure Of U.S. Economy Changes
289	Newly Redesigned HillaryClinton.com Allows Users To Fully Customize Issues Page To Suit Own Preferences
290	New STEM Initiative Just Tries To Dissuade Students In Other Countries From Pursuing Science Careers
291	Precocious 4-Year-Old Already Feels Terrible About Herself
292	Team Of Vatican Geneticists Successfully Clone God
293	Incoming Class Of Subway Trainees Spends Week Practicing On Sandwich Cadavers
294	Diehard Trump Voters Confirm Rest Of Nation Should Stop Wasting Time Trying To Reach Them
295	Each Member Of Family On Edge As Vacation Has Gone By Without One Blowout Fight
296	‘I Can’t Do This Anymore,’ Think 320 Million Americans Quietly Going About Day
297	Melania Trump Stumbles Upon Dozens Of Husband’s Haunting, Macabre Self-Portraits
298	Late-Blooming Dad Just Now Getting Into Civil War History
299	Ayatollah Khamenei Addresses Tehran Prison Mess Hall During Annual Press Correspondents’ Dinner
300	Obama Holds Camp David Summit To Ease Tensions With Coyotes
301	No One Really Knows What Dad Was Doing From 1985 To 1988
302	Trump: ‘Remember, This Is Your Last Chance To Get Out Before This Goes Any Further’
303	‘We Get The Food And Then We Eat The Food Until All The Food Is Gone,’ City Of Chicago Announces Unprompted
304	‘I’m A Trump-Era Conservative,’ Says Horrifying Man 25 Years From Now
305	Investigators: First 48 Hours Most Critical In Locating Missing Children Who Entered Portal To Fantastical World
306	Hillary Clinton Bowls Over Catcher To Score Winning Run In Campaign Staff Softball Game
307	Seagull This Far Inland Must Be Total Fuckup
308	NASA Social Media Manager Considers Himself Part Of Team
309	‘It’s Hard Being Away From You All,’ Says Donald Trump While Spreading Bird Feed Around Rooftop Pigeon Coop
310	Only News Source Man Trusts Has Logo Of Eyeball In Crosshairs
311	CDC Horrified After Discovering Existence Of Thousands Of Public Pools
312	7-Year-Old Unable To Maintain Single Cohesive Storyline While Playing With Action Figures
313	FBI Discontinues Surveillance Of Muslim Americans After Completing 15-Year Study Of Beautiful Culture
314	Obama Discovers Telepathic Connection With Military Drone In Afghanistan
315	Campaign Announces Clinton Has Entered Incubation Period After Securing Nomination
316	Nation’s Overthinkers Convene To Determine What That’s Supposed To Mean
317	Brazen Man Leaves Copy Of ‘Consent To Kill’ By Vince Flynn Unattended In Coffee Shop While Going To Bathroom
318	Leaked Documents Reveal Studio Executives Knew About ‘Gods Of Egypt’ Before It Released Onto Public
319	Man’s Garbage To Have Much More Significant Effect On Planet Than He Will
320	Wealthy Socialite Falling For Unrefined But Beautiful Lower-Class Populace
321	Ayahuasca Shaman Dreading Another Week Of Guiding Tech CEOs To Spiritual Oneness
322	Christ Does Soft Return To Gauge Interest
323	13-Year-Old Excited To Learn Unemployed Older Brother Forced To Move Back Home After College
324	Assault Rifle In Iraq Losing Track Of How Many Times It’s Switched Sides During War
325	Ted Cruz Dressed For Campaign Rally By Swarm Of Loyal Vermin
326	New OSHA Regulations To Cut Down On Workplace Mutations
327	Officials Starting To Think School Just Not Nation’s Thing
328	Hollywood Stars Overthrown In Bloody C-List Uprising
329	FBI Convinces George Clooney To Wear Wire During Clinton Fundraising Dinner
330	Passersby Stop To Stare At Man Leading Sad Life Through Open Apartment Window
331	ExxonMobil CEO Relieved It Finally Too Late To Do Anything About Climate Change
332	Shimmering Immaculate Republican Candidate Appears Before GOP Officials
333	New Royal Caribbean Cruise Just 12-Day Buffet On Floor Of Empty Dockside Warehouse
334	Struggling Nation Sends Middle Class To Go Live With Canadian Government For A While
335	Mattel Releases New Male Barbie To Inspire Girls To Imagine Holding Highest Leadership Positions
336	Scientists Slowly Reintroducing Small Group Of Normal, Well-Adjusted Humans Into Society
337	Nation Comes To Halt To Watch Crane Move Massive Concrete Tube
338	Report: Leading Cause Of Death Still Venturing Beyond The Pines
339	World Makes Final Attempt To Try To Understand This Shit
340	Obama Receives Classified Briefing On Likelihood Of ‘Krull’ Reboot
341	Nation Reaffirms Commitment To Things They Recognize
342	Hillary Clinton Appears Before Rally Completely Nude In Bid For Authenticity
343	‘I Suffer From Severe Psychological Issues And I Need The Help Of Mental Health Professionals,’ Says Trump In Pointed Debate Comeback
344	Noam Chomsky Announces Las Vegas Residency
345	Horrified Investigators Find Unresponsive Legislative Body In Capitol Building
346	Obama Transformed Into 20-Foot-Tall Monster President After Being Doused With Job-Growth Chemical
347	Rubio Campaign Hires New Candidate In Top-Level Staff Shakeup
348	Vatican City Residents Rally To Save St. Peter’s Basilica From Development
349	Obama Tells Nation To Just Chalk Up Today As Loss
350	Parallel World Leaders Meet In Washington For Interdimensional Summit
351	Dazed Marco Rubio Wakes Up In Koch Compound To Find Cold Metal Device Installed Behind Ear
352	Disney World Opens New Ordeal Kingdom For Family Meltdowns
353	Pentagon Holds Gala To Celebrate 25 Years Of Bombing Iraq
