,0
56,Congress Passes Amendment Guaranteeing Right To Chicken Done Right 
57,Clinton Seduced By Suave International Diamond Thief 
58,Study: Finds Link Between Red Wine Letting Mother Know What You Really Think 
59,Historical Archives A Most Amusing Duck Delays The Local Noontime Pillorying 
60,God Angrily Clarifies Dont Kill Rule 
61,Woman To Increase Funding For Hopebased Initiatives 
62,Study Finds Link Between Red Wine Letting Mother Know What You Really Think 
63,The Onion Formally Invites All Oscars Attendees To Bring Billion To Be Place Of His Genius 
64,Scientists Discover Gene Responsible For Eating Whole Goddamn Bag Of Chips 
65,Nasa Announces Plan To Launch 700 Million Into Space 
66,Pope Francis Bags 6Winged Trophy Angel During Vaticans Annual Seraphim Hunt 
67,Supreme Court Rules Supreme Court Rules 
68,National Endowment For The Arts Crafts Criticized For Funding Giant Macram Penis 
69,Fbi Discontinues Surveillance Of Rockwell 
70,Teen Humiliated By Activist Mom 
71,World Of Rights Pared To Big Kind Of Help Years By 83 
72,Thousands Of Elderly Japaneseamericans Rounded Up To Internment Camps 70Th Reunion 
73,White House Closed For 30 Million Renovation Of Warren G Harding Presidential Sexfantasy Pleasure Suite 
74,Family Takes Rare Trip To To Good Mall 
75,American Consumer Masses Agree It Fish Time 
76,Romney Pitches To Not Out Of Bipartisan Family Than Work 
77,Department Of Homeland Security Deputizes Real Mean Dog 
78,Biden To Honor Fallen Soldiers By Jumping Motorcycle Over Vietnam Memorial 
79,Secretary Of Agriculture Attends Diplomatic Meeting With Foreign Cabbage 
80,Chinese Ants Announce Alliance 
81,Americans Demand Increased Governmental Protection From Selves 
82,No One Cares About Your Girlfriend Back 
83,Christ Categorically Denies Speaking To Lutherancollege Administrator 
84,Community Rallies Behind Struggling Corporation 
85,Bill Of 80Pound Toddler Lapping Up Publicity 
86,Everyone In Improv Troupe Balding 
87,Child Protective Services Hopes Caseworker Ready To A Doozy 
88,College Freshman Cycles Rapidly Through Identities 
89,Former Munsters Star Butch Patrick To Write Autobiography On Word Processor Bought At Yard Sale 
90,Deal Alert The Federal Government Is Cutting You A 1200 Stimulus Check That You Can You And Do For The Him Should Couldnt Cough Up Enough For Me This 50 
91,Guy In Philosophy Class Needs To Shut The Fuck Out There 
92,Area Man Has Nakedlady Fetish 
93,Historical Archives: A Most Amusing Duck Delays The Local Noontime Pillorying 
94,Study Finds Link Between Red Wine Letting Mother Know What You Really Think 
95,Supreme Court Rules Supreme Court Rules 
96,Department Of Homeland Security Deputizes Real Mean Dog 
97,Secretary Of Agriculture Attends Diplomatic Meeting With Foreign Cabbage 
98,White House Closed For 30 Million Renovation Of Warren G Harding Presidential Sexfantasy Pleasure Suite 
99,Conservationists Attempting To Get Church Pedophilia Down To Acceptable Levels 
100,Corporate America Shaken By Death Of Longtime Consumer 
101,Disney Ceo Figures Theyve Built Up Enough To Piss 
